instance,group,n,p,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,ils_stop_reason,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_ils_promotions,time_grasp_s,time_vnd_s,time_ils_s,time_total_s,status
lin318_005.txt,lin318,,5,46,181992.4091,181992.4091,180281.2051,83,4,iter_limit,5,2,9.3965,1,0.0061,0.0025,11.4300,11.4385,OK
lin318_015.txt,lin318,,15,46,101279.3751,101279.3751,88901.5631,159,11,iter_limit,14,4,2356.3377,3,0.0047,0.0026,48.5899,48.5972,OK
lin318_040.txt,lin318,,40,46,53711.0736,51764.6300,48293.9628,164,15,iter_limit,19,5,943.0773,5,0.0071,0.0343,129.4763,129.5178,OK
lin318_070.txt,lin318,,70,46,41200.8654,34727.8022,32556.2135,150,16,iter_limit,18,7,737.6719,4,0.0183,0.2103,258.1750,258.4037,OK
lin318_100.txt,lin318,,100,46,34465.2065,26006.1806,23029.4324,270,20,iter_limit,33,8,0.0000,2,0.0241,0.3417,1079.1311,1079.4970,OK
p3038_1000.dat,p3038,,1000,46,113889.7450,94658.4964,87220.5749,294,64,time_limit,36,21,4037.1818,9,18.7044,421.4297,3620.3699,4060.5041,OK
p3038_600.dat,p3038,,600,46,142998.5274,135518.1566,124518.0852,252,47,iter_limit,31,17,7875.1663,17,6.7675,108.7288,2769.7348,2885.2311,OK
p3038_700.dat,p3038,,700,46,134746.5338,123081.9822,111669.4483,292,63,iter_limit,36,21,6212.7559,20,9.2085,183.1322,3557.1752,3749.5160,OK
p3038_800.dat,p3038,,800,46,125336.8770,109954.5195,101537.0872,172,43,iter_limit,21,13,5836.4032,13,11.8156,271.1002,2436.5500,2719.4659,OK
p3038_900.dat,p3038,,900,46,121282.1503,102363.3282,93578.1342,254,51,time_limit,31,21,4684.8037,20,14.9312,376.0619,3602.2535,3993.2467,OK
pr2392_020.txt,pr2392,,20,46,2331112.0780,2323159.0089,2230551.9076,172,15,iter_limit,18,7,8948.8627,7,0.6322,0.9443,437.3609,438.9375,OK
pr2392_075.txt,pr2392,,75,46,1150092.5405,1145244.3037,1102144.4854,166,9,iter_limit,20,6,18571.7363,6,1.0939,2.0791,445.8439,449.0170,OK
pr2392_150.txt,pr2392,,150,46,786480.6076,772632.1438,720836.3052,180,29,iter_limit,22,12,21639.0998,12,1.1448,6.0336,1073.3471,1080.5256,OK
pr2392_300.txt,pr2392,,300,46,527095.6532,499726.8569,461355.4386,186,23,iter_limit,23,11,30354.0474,11,1.6909,17.2182,1283.9800,1302.8892,OK
pr2392_500.txt,pr2392,,500,46,384778.5182,346302.4103,318719.3026,284,41,iter_limit,35,20,19694.3308,20,3.7274,63.2074,2465.1066,2532.0415,OK
rl1304_010.txt,rl1304,,10,46,2199540.8024,2171555.0310,2159977.2399,94,6,iter_limit,7,2,1416.5426,1,0.1833,0.7887,85.8953,86.8673,OK
rl1304_050.txt,rl1304,,50,46,883017.7529,876247.8027,814878.7613,144,15,iter_limit,15,4,13269.2063,4,0.2007,0.3067,223.6277,224.1351,OK
rl1304_100.txt,rl1304,,100,46,573769.1384,562045.9817,503924.4853,108,19,iter_limit,13,6,23349.0309,6,0.2921,1.4632,201.0575,202.8129,OK
rl1304_200.txt,rl1304,,200,46,367021.3967,319442.9653,280153.5314,132,21,iter_limit,16,9,15529.2106,9,0.5763,5.6366,585.2497,591.4626,OK
